18,1,1,6,0
17,1,1,6,0
15,2,3,10,1
15,1,1,15,1
16,1,2,10,1
16,1,2,15,1
16,1,1,11,1
17,1,1,6,0
15,1,1,19,1
15,1,1,15,1
15,1,2,9,0
15,1,1,12,1
15,1,3,14,1
15,1,2,11,1
15,1,1,16,1
16,1,2,14,1
16,1,2,14,1
16,1,1,10,1
17,2,4,5,0
16,1,3,10,1
15,1,1,15,1
15,1,1,15,1
16,1,3,16,1
16,2,4,12,1
15,1,1,8,0
16,1,3,8,0
15,1,2,11,1
15,2,4,15,1
16,1,1,11,1
16,5,5,11,1
15,3,4,12,1
15,1,1,17,1
15,1,1,16,1
15,1,1,12,1
16,1,1,15,1
15,1,1,6,0
15,1,1,18,1
16,1,1,15,1
15,1,1,11,1
15,1,1,13,1
16,1,2,11,1
15,2,4,12,1
15,1,1,18,1
15,1,1,11,1
16,2,2,9,0
15,1,1,6,0
16,1,4,11,1
16,1,1,20,1
15,2,2,14,1
15,1,1,7,0
16,2,3,13,1
15,1,1,13,1
15,3,4,10,1
15,2,3,11,1
15,4,4,13,1
16,1,1,10,1
15,1,1,15,1
15,1,1,15,1
15,1,1,9,0
16,1,1,16,1
16,2,3,11,1
16,5,5,11,1
16,1,1,9,0
16,2,4,9,0
15,2,4,10,1
16,1,2,15,1
15,5,5,12,1
16,1,2,6,0
15,1,3,8,0
15,2,3,16,1
16,1,1,15,1
15,1,1,10,1
15,2,4,5,0
16,2,2,14,1
16,2,4,11,1
15,2,3,10,1
15,1,1,10,1
16,1,3,11,1
17,1,1,10,1
16,1,2,5,0
15,1,3,12,1
15,1,2,11,1
15,1,1,6,0
15,1,3,15,1
15,2,3,10,1
15,2,3,8,0
16,1,2,6,0
15,1,3,14,1
16,1,1,10,1
16,3,5,7,0
16,1,3,8,0
15,1,3,18,1
16,2,3,6,0
16,1,1,10,1
15,1,1,14,1
15,1,1,10,1
16,1,1,15,1
16,1,1,10,1
16,1,2,14,1
16,1,1,8,0
16,5,5,5,0
16,1,1,17,1
15,1,1,14,1
15,1,1,6,0
15,1,1,18,1
15,1,1,11,1
15,1,1,8,0
16,1,1,18,1
15,3,5,13,1
16,1,1,16,1
15,1,1,19,1
16,1,1,10,1
16,1,1,13,1
15,1,1,19,1
15,1,1,9,0
16,1,2,16,1
15,1,1,14,1
16,1,1,13,1
17,1,4,8,0
15,1,2,13,1
15,1,2,15,1
15,1,2,15,1
16,1,2,13,1
16,1,4,13,1
16,1,1,8,0
15,3,2,12,1
15,1,1,11,1
19,1,1,9,0
18,1,2,0,0
16,2,5,18,1
15,2,2,0,0
15,1,2,0,0
17,1,3,12,1
16,1,4,11,1
15,1,1,0,0
15,1,1,0,0
17,2,4,0,0
16,1,1,0,0
16,1,3,12,1
15,1,1,15,1
15,1,1,0,0
16,2,2,9,0
15,1,1,11,1
16,3,3,13,1
17,1,2,0,0
15,1,2,11,1
15,1,1,0,0
15,1,1,11,1
16,2,1,0,0
15,2,5,10,1
18,2,5,0,0
16,3,5,14,1
15,2,3,10,1
19,1,1,0,0
17,1,1,12,1
15,1,1,8,0
17,3,3,13,1
18,1,5,10,1
16,1,2,15,1
16,4,4,12,1
17,2,2,0,0
15,1,4,7,0
16,2,4,0,0
17,1,4,10,1
17,1,5,7,0
16,1,1,12,1
16,2,4,10,1
16,1,1,16,1
16,1,1,0,0
16,1,1,14,1
16,2,4,0,0
16,1,1,16,1
17,1,3,10,1
16,1,1,0,0
16,1,1,9,0
17,4,4,9,0
16,1,4,11,1
17,1,4,6,0
16,3,4,9,0
17,1,1,11,1
16,2,3,8,0
16,1,2,12,1
17,2,3,17,1
17,2,3,8,0
16,1,2,12,1
17,2,3,11,1
16,1,2,11,1
16,1,2,15,1
17,1,3,9,0
17,1,5,10,1
16,1,1,13,1
17,1,1,9,0
17,4,5,8,0
16,3,4,10,1
16,1,1,14,1
17,1,1,15,1
17,1,2,16,1
16,3,5,10,1
17,2,3,18,1
16,1,2,10,1
16,1,5,16,1
16,1,3,10,1
17,1,3,10,1
17,1,2,6,0
16,1,1,11,1
17,3,4,9,0
16,2,2,7,0
16,1,1,13,1
16,1,4,10,1
17,1,1,7,0
19,1,2,8,0
17,4,5,13,1
16,1,1,14,1
18,2,4,8,0
17,1,2,10,1
17,1,3,15,1
17,2,4,4,0
18,2,4,8,0
17,1,4,8,0
17,1,1,10,1
17,1,2,6,0
17,1,1,0,0
16,1,1,17,1
18,5,5,13,1
16,1,1,14,1
18,1,1,7,0
17,1,3,15,1
17,1,3,12,1
18,4,5,9,0
17,1,2,12,1
17,1,2,14,1
17,1,1,11,1
17,1,3,9,0
16,2,4,13,1
16,1,1,6,0
16,1,3,10,1
17,5,5,13,1
16,1,1,12,1
17,1,1,11,1
18,3,5,0,0
17,1,4,12,1
17,2,3,12,1
16,1,1,0,0
16,1,2,12,1
18,1,1,0,0
16,1,1,18,1
17,1,1,13,1
22,5,5,8,0
18,1,3,5,0
16,2,4,15,1
18,2,4,8,0
16,1,3,10,1
18,2,5,8,0
16,1,3,8,0
17,2,4,12,1
17,1,2,8,0
17,1,1,13,1
19,1,1,11,1
18,1,2,14,1
17,1,1,0,0
18,1,3,18,1
18,1,1,8,0
18,1,1,12,1
17,1,1,9,0
18,1,1,0,0
18,3,4,17,1
17,3,4,10,1
18,2,2,11,1
18,1,3,10,1
18,1,2,0,0
19,3,3,9,0
18,1,3,14,1
18,1,1,11,1
17,2,2,14,1
17,1,1,10,1
17,2,3,12,1
18,1,1,9,0
18,1,4,9,0
18,1,1,8,0
18,1,2,10,1
17,2,4,8,0
17,3,4,10,1
18,1,1,12,1
18,1,1,10,1
17,1,2,11,1
17,1,2,11,1
18,1,2,19,1
17,1,1,12,1
18,1,3,14,1
18,1,1,15,1
18,1,4,11,1
17,1,2,15,1
18,1,1,13,1
17,1,1,18,1
18,1,1,14,1
17,1,3,11,1
19,2,3,0,0
18,1,2,8,0
18,1,1,14,1
18,2,2,16,1
18,1,1,11,1
17,2,2,10,1
17,1,1,14,1
17,1,2,18,1
19,1,1,13,1
